code,category,value,areaName,cx,cy,region,pop_value,own,mortgage,sharedOwn,laRent,socialRent,privateRent,otherRent,freeRent,Average_Price,cxx,cyy
E06000001,popDensity,985.5,Hartlepool,448118,530661,E12000001,92338,12761,11073,239,3986,5608,6338,856,68,115063.4411,221071.5467,252948410
E06000002,popDensity,2671.2,Middlesbrough,450380,516653,E12000001,143926,17224,15913,330,6773,7233,11286,1391,115,120162.8359,222187.4667,246271263.3
E06000003,popDensity,557.1,Redcar and Cleveland,463383,518023,E12000001,136531,22649,17205,346,5269,6380,8410,1338,41,132098.9016,228602.28,246924296.7
E06000004,popDensity,959.3,Stockton-on-Tees,443484,518785,E12000001,196595,27726,27686,385,7204,6469,12388,1819,79,141877.9177,218785.44,247287516.7
E06000005,popDensity,545.9,Darlington,429038,517147,E12000001,107799,16222,14474,190,5112,2819,9035,1043,20,137788.7761,211658.7467,246506736.7
E06000006,popDensity,1624.3,Halton,352162,383230,E12000002,128478,17096,16744,429,2898,10721,7088,930,45,154835.8009,173733.2533,182672966.7
E06000011,popDensity,142.4,East Riding of Yorkshire,499908,442365,E12000003,342215,65680,45518,634,10874,3406,22171,3561,222,197186.1459,246621.28,210860650
E06000012,popDensity,815,North East Lincolnshire,523749,406881,E12000003,156966,24373,20211,358,2729,6462,14185,1459,49,134574.0621,258382.84,193946610
E06000014,popDensity,745.8,York,461737,451799,E12000003,202821,31453,24182,719,7152,4772,15209,1875,96,272116.3652,227790.2533,215357523.3
E06000015,popDensity,3349.5,Derby,435851,335169,E12000004,261364,33384,28985,790,11713,8138,20395,2058,188,173525.779,215019.8267,159763890
E06000017,popDensity,107.5,Rutland,491121,307844,E12000004,41049,7286,4555,233,310,1509,2082,708,8,324529.5144,242286.36,146738973.3
E06000018,popDensity,4337.6,Nottingham,455451,340739,E12000004,323632,27940,28375,609,22854,8942,33039,2649,335,161041.9402,224689.16,162418923.3
E06000019,popDensity,85.8,Herefordshire,349035,245285,E12000005,187034,35070,19893,916,2657,8652,12943,2662,34,261794.6212,172190.6,116919183.3
E06000020,popDensity,639.1,Telford and Wrekin,367109,314837,E12000005,185541,23088,22776,586,4966,8818,14694,1503,78,183847.4791,181107.1067,150072303.3
E06000021,popDensity,2764.8,Stoke-on-Trent,389018,346716,E12000005,258366,33558,29095,404,16913,7656,20065,2335,374,121298.1427,191915.5467,165267960
E06000023,popDensity,4308.1,Bristol,346546,172919,E12000009,472465,48199,55221,1656,24977,10902,46271,3942,470,308010.0316,170962.6933,82424723.33
E06000024,popDensity,579.9,North Somerset,344429,165882,E12000009,216726,37250,30532,679,2003,6711,15541,1879,53,282531.0042,169918.3067,79070420
E06000026,popDensity,3314.8,Plymouth,249389,56735,E12000009,264695,33783,32255,1349,7386,13725,22754,3167,138,186091.8351,123031.9067,27043683.33
E06000027,popDensity,2215.6,Torbay,291417,61223,E12000009,139324,24663,15699,622,561,4664,15195,1572,16,209376.2122,143765.72,29182963.33
E06000031,popDensity,628.1,Peterborough,518343,302621,E12000006,215671,22268,24624,1167,5009,10751,18675,1937,102,197528.178,255715.88,144249343.3
E06000032,popDensity,5196,Luton,508515,222915,E12000006,225262,20296,22281,426,8498,4425,21280,1607,127,240193.948,250867.4,106256150
E06000035,popDensity,1444.2,Medway,578769,172759,E12000008,279773,34388,37734,1646,4553,10577,20219,2272,68,254619.1909,285526.04,82348456.67
E06000036,popDensity,1139.2,Bracknell Forest,487739,168395,E12000008,124607,14488,19053,877,2507,5382,6957,945,36,343139.736,240617.9067,80268283.33
E06000037,popDensity,229.3,West Berkshire,448409,172535,E12000008,161448,23209,21828,878,787,8518,9668,1763,7,357542.5559,221215.1067,82241683.33
E06000038,popDensity,4312.6,Reading,470639,173186,E12000008,174224,15426,18707,883,6145,4779,20373,1250,120,294983.3413,232181.9067,82551993.33
E06000039,popDensity,4871.5,Slough,498180,179746,E12000008,158500,10215,15186,573,6304,3962,15101,994,88,299359.7142,245768.8,85678926.67
E06000040,popDensity,781.1,Windsor and Maidenhead,490435,177040,E12000008,153496,20393,19913,392,705,6950,10635,1918,23,483538.2258,241947.9333,84389066.67
E06000041,popDensity,991.7,Wokingham,477672,170613,E12000008,177503,24952,27647,1426,2844,2487,8665,1117,27,422448.6731,235651.52,81325530
E06000042,popDensity,930.1,Milton Keynes,486881,243629,E12000008,287060,27193,34752,6905,11029,9419,21780,1876,149,269914.649,240194.6267,116129823.3
E06000043,popDensity,3345.3,Brighton and Hove,531606,106526,E12000008,277103,30444,31973,997,11587,6464,37167,2517,253,387613.6937,262258.96,50777393.33
E06000044,popDensity,5149.8,Portsmouth,465010,102752,E12000008,208003,21958,23066,769,9394,6113,22196,2473,186,222050.8817,229404.9333,48978453.33
E06000045,popDensity,4990.5,Southampton,442376,113232,E12000008,248922,23049,25789,1061,14958,7439,28063,1797,134,212669.6739,218238.8267,53973920
E06000047,popDensity,234.5,County Durham,410446,533389,E12000001,522068,81046,65775,692,21999,24859,35156,5042,195,111765.299,202486.6933,254248756.7
E06000050,popDensity,388.2,Cheshire West and Chester,350919,367257,E12000002,357150,57620,48336,1945,9412,13298,21291,3093,159,224958.049,173120.04,175059170
E06000051,popDensity,101.2,Shropshire,350424,304422,E12000005,323606,59262,36522,1170,5616,12553,20425,3942,89,233074.4572,172875.84,145107820
E06000053,popDensity,125.9,Isles of Scilly,91546,11139,E12000009,2053,640,196,28,206,118,448,240,2,#N/A,45162.69333,5309590
E06000054,popDensity,156.8,Wiltshire,403934,155301,E12000009,510333,80220,63547,2546,7845,23383,27674,9748,118,293734.2967,199274.1067,74026810
E06000055,popDensity,388.8,Bedford,504237,255656,E12000006,185225,23359,23605,1427,1782,10418,12905,1411,42,295005.5115,248756.92,121862693.3
E06000056,popDensity,411.2,Central Bedfordshire,507413,235392,E12000006,294252,40618,45305,2112,5620,10457,14329,2238,75,312671.5996,250323.7467,112203520
E06000057,popDensity,63.9,Northumberland,395886,594161,E12000001,320567,56684,39104,801,13597,12488,20149,3979,120,170449.2509,195303.76,283216743.3
E06000058,popDensity,2469.2,Bournemouth Christchurch and Poole,408362,94131,E12000009,400196,59736,49485,1226,8864,10238,40460,3692,141,296605.6739,201458.5867,44869110
E06000059,popDensity,152.4,Dorset,376581,100771,E12000009,379579,77561,41593,1620,2263,18573,22778,4834,39,309765.3269,185779.96,48034176.67
E06000060,popDensity,353.4,Buckinghamshire,482081,210241,E12000008,553078,77213,77026,2813,5766,22769,29769,4861,110,417317.0138,237826.6267,100214876.7
