RegionCode,Region,Time Period,Household_Avr_size
E07000114,,2021,2.230900322
E07000115,,2021,2.446207257
E07000116,,2021,2.350317283
E07000117,,2021,2.346383427
E07000118,,2021,2.294217382
E07000119,,2021,2.120299952
E07000120,,2021,2.337184904
E07000121,,2021,2.244786023
E07000122,,2021,2.488782641
E07000123,,2021,2.376134476
E07000124,,2021,2.263356638
E07000125,,2021,2.292421962
E07000126,,2021,2.26883181
E07000127,,2021,2.323635465
E07000128,,2021,2.171801135
E07000129,,2021,2.40700815
E07000130,,2021,2.373517653
E07000131,,2021,2.380397397
E07000132,,2021,2.281736
E07000133,,2021,2.272534183
E07000134,,2021,2.317063951
E07000135,,2021,2.468850864
E07000136,,2021,2.369906809
E07000137,,2021,2.159557711
E07000138,,2021,2.265397826
E07000139,,2021,2.275118163
E07000140,,2021,2.31637266
E07000141,,2021,2.261957041
E07000142,,2021,2.219742591
E07000143,,2021,2.302556371
E07000144,,2021,2.256964283
E07000145,,2021,2.216078484
E07000146,,2021,2.260034982
E07000147,,2021,2.084404846
E07000148,,2021,2.132434613
E07000149,,2021,2.282823675
E07000163,,2021,2.156200852
E07000164,,2021,2.195059187
E07000165,,2021,2.2217117
E07000166,,2021,2.240116501
E07000167,,2021,2.183079786
E07000168,,2021,2.097646852
E07000169,,2021,2.309360702
E07000170,,2021,2.29571806
E07000171,,2021,2.244451786
E07000172,,2021,2.251111433
E07000173,,2021,2.262002211
E07000174,,2021,2.283352765
E07000175,,2021,2.260889131
E07000176,,2021,2.335010625
E07000177,,2021,2.408783938
E07000178,,2021,2.529915458
E07000179,,2021,2.385254565
E07000180,,2021,2.363803958
E07000181,,2021,2.329109439
E07000187,,2021,2.262342672
E07000188,,2021,2.29803536
E07000189,,2021,2.238276466
E07000192,,2021,2.30069029
E07000193,,2021,2.375984559
E07000194,,2021,2.301030024
E07000195,,2021,2.24656047
E07000196,,2021,2.311398278
E07000197,,2021,2.241677353
E07000198,,2021,2.240088782
E07000199,,2021,2.380593385
E07000200,,2021,2.267567097
E07000202,,2021,2.317644093
E07000203,,2021,2.287524806
E07000207,,2021,2.468475113
E07000208,,2021,2.552777778
E07000209,,2021,2.42470814
E07000210,,2021,2.318066774
E07000211,,2021,2.464402079
E07000212,,2021,2.415224318
E07000213,,2021,2.442913527
E07000214,,2021,2.467534992
E07000215,,2021,2.415489992
E07000216,,2021,2.369985509
E07000217,,2021,2.48747466
E07000218,,2021,2.332813633
E07000219,,2021,2.357120136
E07000220,,2021,2.394210112
E07000221,,2021,2.246132114
E07000222,,2021,2.307254987
E07000223,,2021,2.305994147
E07000224,,2021,2.220723634
E07000225,,2021,2.219781235
E07000226,,2021,2.589446618
E07000227,,2021,2.312580169
E07000228,,2021,2.375917536
E07000229,,2021,2.212657717
E07000234,,2021,2.354537744
E07000235,,2021,2.224964173
E07000236,,2021,2.382236517
E07000237,,2021,2.28036401
E07000238,,2021,2.283766585
E07000239,,2021,2.218875502
E07000240,,2021,2.489964401
E07000241,,2021,2.480318539
E07000242,,2021,2.389329593
E07000243,,2021,2.432131902
E07000244,,2021,2.188137139
E07000245,,2021,2.228075077
E07000246,,2021,2.202640528
E08000001,,2021,2.461651135
E08000002,,2021,2.373926513
E08000003,,2021,2.460124156
E08000004,,2021,2.563373023
E08000005,,2021,2.454230074
E08000006,,2021,2.284091107
E08000007,,2021,2.308531723
E08000008,,2021,2.304992615
E08000009,,2021,2.425131662
E08000010,,2021,2.283414276
E08000011,,2021,2.325518744
E08000012,,2021,2.233046253
E08000013,,2021,2.246559109
E08000014,,2021,2.239348045
E08000015,,2021,2.214914975
E08000016,,2021,2.247015271
E08000017,,2021,2.270424561
E08000018,,2021,2.314865043
E08000019,,2021,2.307161026
E08000021,,2021,2.300447079
E08000022,,2021,2.158128273
E08000023,,2021,2.145850723
E08000024,,2021,2.212150726
E08000025,,2021,2.625701372
E08000026,,2021,2.475022551
E08000027,,2021,2.342905294
E08000028,,2021,2.59872856
E08000029,,2021,2.40090966
E08000030,,2021,2.511690696
E08000031,,2021,2.472517857
E08000032,,2021,2.563134923
E08000033,,2021,2.266335824
E08000034,,2021,2.398136964
E08000035,,2021,2.312195065
E08000036,,2021,2.284043769
E08000037,,2021,2.171921348
E09000001,,2021,1.702889703
E09000002,,2021,2.937714812
E09000003,,2021,2.584580672
E09000004,,2021,2.571726881
E09000005,,2021,2.800278211
E09000006,,2021,2.41483652
E09000007,,2021,2.181970094
E09000008,,2021,2.52908216
E09000009,,2021,2.703197714
E09000010,,2021,2.702137689
E09000011,,2021,2.486764925
E09000012,,2021,2.404200564
E09000013,,2021,2.220188568
E09000014,,2021,2.477752826
E09000015,,2021,2.873329466
E09000016,,2021,2.569215427
E09000017,,2021,2.74255921
E09000018,,2021,2.769198644
E09000019,,2021,2.184235616
E09000020,,2021,2.100068776
E09000021,,2021,2.507847499
E09000022,,2021,2.319647179
E09000023,,2021,2.426463499
E09000024,,2021,2.614298474
E09000025,,2021,2.985446895
E09000026,,2021,2.955212943
E09000027,,2021,2.395626045
E09000028,,2021,2.306257549
E09000029,,2021,2.529720343
E09000030,,2021,2.502318752
E09000031,,2021,2.67206344
E09000032,,2021,2.34835108
E09000033,,2021,2.097252544
W06000001,,2021,2.210823438
W06000002,,2021,2.222933177
W06000003,,2021,2.160390543
W06000004,,2021,2.220256211
W06000005,,2021,2.299965626
W06000006,,2021,2.281296405
W06000008,,2021,2.193739479
W06000009,,2021,2.193504785
W06000010,,2021,2.268875598
W06000011,,2021,2.221985099
W06000012,,2021,2.229639605
W06000013,,2021,2.289704939
W06000014,,2021,2.267050796
W06000015,,2021,2.351116179
W06000016,,2021,2.279291659
W06000018,,2021,2.295081107
W06000019,,2021,2.192880686
W06000020,,2021,2.27889466
W06000021,,2021,2.235675015
W06000022,,2021,2.38659864
W06000023,,2021,2.187414842
W06000024,,2021,2.26401117
